pop2000,county_id,cz,czname,state_id,stateabbrv
43182,40137,33601,Lawton,40,OK
20107,40139,31006,Guymon,40,OK
9287,40141,33603,Frederick,40,OK
563299,40143,30402,Tulsa,40,OK
57491,40145,30402,Tulsa,40,OK
48996,40147,29403,Bartlesville,20,KS
11508,40149,33801,Elk City,40,OK
9089,40151,30502,Enid,40,OK
18486,40153,30501,Woodward,40,OK
16741,41001,39201,La Grande,41,OR
78153,41003,38901,Eugene,41,OR
338391,41005,38801,Portland,41,OR
35630,41007,38700,Longview,53,WA
43560,41009,38801,Portland,41,OR
62779,41011,36902,Roseburg,41,OR
19182,41013,39203,Bend,41,OR
21137,41015,36901,Crescent City,6,CA
115367,41017,39203,Bend,41,OR
100399,41019,36902,Roseburg,41,OR
1915,41021,39204,Condon,41,OR
7935,41023,39205,John Day,41,OR
7609,41025,36502,Burns,41,OR
20411,41027,38802,The Dalles,41,OR
181269,41029,36800,Medford,41,OR
19009,41031,39203,Bend,41,OR
75726,41033,36800,Medford,41,OR
63775,41035,36501,Klamath Falls,6,CA
7422,41037,36503,Lakeview,41,OR
322959,41039,38901,Eugene,41,OR
44479,41041,38902,Newport,41,OR
103069,41043,38901,Eugene,41,OR
31615,41045,35802,Ontario,41,OR
284834,41047,38901,Eugene,41,OR
10995,41049,39100,Kennewick,53,WA
660486,41051,38801,Portland,41,OR
62380,41053,38901,Eugene,41,OR
1934,41055,38802,The Dalles,41,OR
24262,41057,38902,Newport,41,OR
70548,41059,39100,Kennewick,53,WA
24530,41061,39201,La Grande,41,OR
7226,41063,39202,Enterprise,41,OR
23791,41065,38802,The Dalles,41,OR
445342,41067,38801,Portland,41,OR
1547,41069,39204,Condon,41,OR
84992,41071,38901,Eugene,41,OR
91292,42001,19200,Harrisburg,42,PA
1281666,42003,16300,Pittsburgh,42,PA
72392,42005,16300,Pittsburgh,42,PA
181412,42007,16300,Pittsburgh,42,PA
49984,42009,16200,Altoona,42,PA
373638,42011,19100,Reading,42,PA
129144,42013,16200,Altoona,42,PA
62761,42015,18900,Williamsport,42,PA
597635,42017,19700,Philadelphia,42,PA
174083,42019,16300,Pittsburgh,42,PA
152598,42021,16200,Altoona,42,PA
5974,42023,18202,St. Marys,42,PA
58802,42025,19000,Allentown,42,PA
135758,42027,16100,State College,42,PA
433501,42029,19700,Philadelphia,42,PA
41765,42031,16500,Erie,42,PA
83382,42033,16100,State College,42,PA
37914,42035,18900,Williamsport,42,PA
64151,42037,18800,Scranton,42,PA
90366,42039,16500,Erie,42,PA
213674,42041,19200,Harrisburg,42,PA
251798,42043,19200,Harrisburg,42,PA
550864,42045,19700,Philadelphia,42,PA
35112,42047,18202,St. Marys,42,PA
280843,42049,16500,Erie,42,PA
148644,42051,16300,Pittsburgh,42,PA
4946,42053,16500,Erie,42,PA
129313,42055,17400,Hagerstown,42,PA
14261,42057,17400,Hagerstown,42,PA
40672,42059,16300,Pittsburgh,42,PA
45586,42061,16100,State College,42,PA
89605,42063,16300,Pittsburgh,42,PA
45932,42065,16100,State College,42,PA
22821,42067,19200,Harrisburg,42,PA
213295,42069,18800,Scranton,42,PA
470658,42071,19100,Reading,42,PA
94643,42073,16400,Youngstown,39,OH
120327,42075,19100,Reading,42,PA
312090,42077,19000,Allentown,42,PA
319250,42079,18800,Scranton,42,PA
120044,42081,18900,Williamsport,42,PA
45936,42083,18201,Olean,36,NY
120293,42085,16400,Youngstown,39,OH
46486,42087,19200,Harrisburg,42,PA
138687,42089,18800,Scranton,42,PA
750097,42091,19700,Philadelphia,42,PA
18236,42093,18700,Sunbury,42,PA
267066,42095,19000,Allentown,42,PA
94556,42097,18700,Sunbury,42,PA
43602,42099,19200,Harrisburg,42,PA
1517550,42101,19700,Philadelphia,42,PA
46302,42103,18800,Scranton,42,PA
18080,42105,18201,Olean,36,NY
150336,42107,19100,Reading,42,PA
37546,42109,18700,Sunbury,42,PA
80023,42111,16200,Altoona,42,PA
6556,42113,18900,Williamsport,42,PA
42238,42115,17900,Union,36,NY
41373,42117,18100,Elmira,36,NY
41624,42119,18700,Sunbury,42,PA
57565,42121,16500,Erie,42,PA
43863,42123,16500,Erie,42,PA
202897,42125,16300,Pittsburgh,42,PA
47722,42127,18800,Scranton,42,PA
369993,42129,16300,Pittsburgh,42,PA
28080,42131,18800,Scranton,42,PA
381751,42133,19200,Harrisburg,42,PA
50648,44001,20401,Providence,44,RI
167090,44003,20401,Providence,44,RI
85433,44005,20401,Providence,44,RI
621602,44007,20401,Providence,44,RI
123546,44009,20401,Providence,44,RI
26167,45001,8300,Greenville,45,SC
142552,45003,8401,Aiken,13,GA
11211,45005,8201,Barnwell,45,SC
165740,45007,8300,Greenville,45,SC
16658,45009,8201,Barnwell,45,SC
23478,45011,8201,Barnwell,45,SC
120937,45013,8800,Savannah,13,GA
142651,45015,8202,Charleston,45,SC
15185,45017,8100,Columbia,45,SC
309969,45019,8202,Charleston,45,SC
52537,45021,700,Spartanburg,45,SC
34068,45023,900,Charlotte,37,NC
42768,45025,1301,Bennettsville,45,SC
32502,45027,8000,Sumter,45,SC
38264,45029,8202,Charleston,45,SC
67394,45031,1302,Florence,45,SC
30722,45033,1302,Florence,45,SC
96413,45035,8202,Charleston,45,SC
24595,45037,8401,Aiken,13,GA
23454,45039,8100,Columbia,45,SC
125761,45041,1302,Florence,45,SC
55797,45043,1302,Florence,45,SC
379616,45045,8300,Greenville,45,SC
66271,45047,8300,Greenville,45,SC
21386,45049,8201,Barnwell,45,SC
196629,45051,1302,Florence,45,SC
20678,45053,8800,Savannah,13,GA
52647,45055,8000,Sumter,45,SC
61351,45057,900,Charlotte,37,NC
69567,45059,8300,Greenville,45,SC
20119,45061,8000,Sumter,45,SC
216014,45063,8100,Columbia,45,SC
9958,45065,8300,Greenville,45,SC
35466,45067,1302,Florence,45,SC
28818,45069,1301,Bennettsville,45,SC
36108,45071,8100,Columbia,45,SC
66215,45073,8300,Greenville,45,SC
91582,45075,8100,Columbia,45,SC
110757,45077,8300,Greenville,45,SC
320677,45079,8100,Columbia,45,SC
19181,45081,8100,Columbia,45,SC
253791,45083,700,Spartanburg,45,SC
104646,45085,8000,Sumter,45,SC
29881,45087,700,Spartanburg,45,SC
37217,45089,1302,Florence,45,SC
164614,45091,900,Charlotte,37,NC
